date,time,tag,detail
"2026-08-21","13:36:09","[ANPR_EVENT]","plate=5827УНД  conf=82%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:36:06","[ANPR_EVENT]","plate=1204УЕО  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:35:59","[ANPR_EVENT]","plate=7035УЕК  conf=90%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:35:47","[ANPR_EVENT]","plate=8349УБ  conf=34%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:35:44","[ANPR_EVENT]","plate=1890УАУ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:35:37","[ANPR_EVENT]","plate=1729УНЕ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:35:35","[ANPR_EVENT]","plate=0441УБП  conf=86%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:35:24","[ANPR_EVENT]","plate=4985УЕХ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:35:19","[ANPR_EVENT]","plate=4913УАМ  conf=90%  dir=enter  lot=""Гэгээнтэн урд""  cam=74"
"2026-08-21","13:35:19","[ANPR_EVENT]","plate=1639УКО  conf=90%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:35:08","[ANPR_EVENT]","plate=5904УАР  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:35:06","[ANPR_EVENT]","plate=7708УНЧ  conf=94%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:35:06","[ANPR_EVENT]","plate=9653ДАВ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:34:59","[ANPR_EVENT]","plate=4539УБА  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:34:58","[ANPR_EVENT]","plate=1443УНР  conf=86%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:34:55","[ANPR_EVENT]","plate=5413УБО  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:34:50","[ANPR_EVENT]","plate=4854УЕХ  conf=90%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:34:44","[ANPR_EVENT]","plate=1001УАС  conf=94%  dir=enter  lot=""Гэгээнтэн урд""  cam=74"
"2026-08-21","13:34:43","[ANPR_EVENT]","plate=5649УНГ  conf=98%  dir=exit  lot=""Хан гарьд""  cam=33"
"2026-08-21","13:34:33","[ANPR_EVENT]","plate=3218ӨВР  conf=94%  dir=enter  lot=""Соло""  cam=20"
"2026-08-21","13:34:30","[ANPR_EVENT]","plate=0502УВХ  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:34:25","[ANPR_EVENT]","plate=0440БУН  conf=86%  dir=enter  lot=""Барилгачдын талбай""  cam=61"
"2026-08-21","13:34:23","[ANPR_EVENT]","plate=3679УНӨ  conf=90%  dir=enter  lot=""Соло""  cam=20"
"2026-08-21","13:34:20","[ANPR_EVENT]","plate=5327УКР  conf=90%  dir=exit  lot=""Барилгачдын талбай""  cam=62"
"2026-08-21","13:34:11","[ANPR_EVENT]","plate=6099УАЕ  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:34:09","[ANPR_EVENT]","plate=1150ДУЭ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:34:09","[ANPR_EVENT]","plate=0441УБП  conf=90%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:33:38","[ANPR_EVENT]","plate=4797УНЭ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:33:13","[ANPR_EVENT]","plate=4550УЕУ  conf=90%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:33:05","[ANPR_EVENT]","plate=3713УЕА  conf=90%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:33:02","[ANPR_EVENT]","plate=1601УКУ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=51"
"2026-08-21","13:32:58","[ANPR_EVENT]","plate=1150ДУЭ  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:32:57","[ANPR_EVENT]","plate=3126УНЗ  conf=98%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:32:54","[ANPR_EVENT]","plate=0447УКА  conf=90%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:32:47","[ANPR_EVENT]","plate=9991УНС  conf=78%  dir=exit  lot=""Гэгээнтэн урд""  cam=75"
"2026-08-21","13:32:47","[ANPR_EVENT]","plate=3478УАА  conf=78%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:32:43","[ANPR_EVENT]","plate=4503УКА  conf=90%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:32:42","[ANPR_EVENT]","plate=7700УКО  conf=94%  dir=enter  lot=""Морьтон""  cam=40"
"2026-08-21","13:32:42","[ANPR_EVENT]","plate=0432ЦАУ  conf=90%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:32:42","[ANPR_EVENT]","plate=1925УЕХ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=51"
